NAL,NS,SEMESTRE,NCURSOSMATRICULADOS,NCREDITOSMATRICULADOS,NCREDITOSAPROBADOS,NCREDITOSDESAPROBADOS,PROMEDIOPORCICLO
14,14,2013-2,4,16,8,8,12
14,14,2013-3,5,18,4,14,11
14,14,2014-1,5,18,3,15,5
14,14,2014-2,4,15,4,11,6
14,14,2015-2,6,20,0,20,1
15,15,2010-1,8,21,0,21,0
15,15,2011-3,8,21,13,8,9
15,15,2012-2,7,22,6,16,7
15,15,2013-1,7,19,0,19,2
15,15,2013-2,7,19,11,8,10
15,15,2013-3,6,18,10,8,11
15,15,2014-1,7,25,0,25,4
15,15,2014-2,7,25,9,16,6
16,16,2010-1,6,20,20,0,17
16,16,2010-2,6,22,18,4,15
16,16,2010-C,4,11,11,0,18
16,16,2011-1,7,21,17,4,13
16,16,2011-2,7,21,13,8,11
16,16,2011-3,7,22,11,11,13
16,16,2012-1,5,20,20,0,15
16,16,2012-2,7,22,12,10,13
16,16,2013-2,7,22,18,4,15
16,16,2013-3,6,22,22,0,15
16,16,2014-1,5,20,9,11,13
16,16,2014-2,1,8,8,0,17
17,17,2010-1,7,22,0,22,0
17,17,2011-1,7,22,5,17,9
18,18,2010-1,7,22,17,5,14
18,18,2010-2,7,22,10,12,9
18,18,2011-1,6,20,7,13,11
18,18,2011-2,6,21,12,9,13
18,18,2011-3,6,20,11,9,13
18,18,2012-1,6,21,17,4,13
18,18,2012-2,6,22,14,8,11
18,18,2013-1,8,22,21,1,14
18,18,2013-2,8,22,4,18,10
18,18,2013-3,8,22,17,5,13
18,18,2014-1,7,20,4,16,10
18,18,2014-2,7,21,7,14,11
18,18,2015-1,7,21,14,7,12
18,18,2015-2,6,21,15,6,14
19,19,2010-1,6,21,0,21,0
20,20,2010-1,7,22,22,0,15
20,20,2010-2,7,22,19,3,13
20,20,2011-1,6,19,0,19,7
20,20,2011-2,7,22,3,19,4
20,20,2011-3,7,22,0,22,5
22,22,2010-1,4,14,0,14,0
23,23,2010-1,6,21,21,0,16
23,23,2010-2,6,21,21,0,15
23,23,2011-1,6,22,22,0,16
23,23,2011-2,6,22,22,0,14
23,23,2011-3,6,22,22,0,14
23,23,2012-1,6,21,21,0,15
23,23,2012-2,6,22,22,0,16
23,23,2013-1,6,22,22,0,17
23,23,2013-2,6,22,18,4,15
23,23,2013-3,6,19,19,0,15
23,23,2014-1,2,6,6,0,15
24,24,2010-1,7,22,0,22,0
25,25,2010-1,6,21,21,0,15
25,25,2010-2,6,22,22,0,15
25,25,2010-C,3,11,11,0,16
25,25,2011-1,6,22,18,4,14
25,25,2011-2,6,22,18,4,15
25,25,2011-3,6,22,15,7,13
25,25,2012-1,6,22,22,0,14
25,25,2012-2,6,22,0,22,3
25,25,2013-1,6,22,18,4,14
25,25,2013-2,6,22,14,8,13
25,25,2013-3,6,22,11,11,11
25,25,2014-1,6,22,14,8,13
25,25,2014-2,6,20,20,0,14
25,25,2015-1,4,12,12,0,14
26,26,2010-1,4,14,6,8,7
26,26,2010-2,6,21,6,15,8
26,26,2011-1,6,22,7,15,5
26,26,2011-2,5,19,3,16,4
26,26,2011-3,4,16,8,8,12
26,26,2012-1,5,20,0,20,7
26,26,2012-2,6,22,7,15,8
26,26,2013-1,7,22,9,13,10
26,26,2013-2,6,22,18,4,14
26,26,2013-3,7,22,0,22,6
26,26,2014-1,6,21,9,12,10
26,26,2014-2,6,22,7,15,11
26,26,2015-1,7,20,5,15,6
26,26,2015-2,5,14,3,11,10
27,27,2010-1,3,11,4,7,13
27,27,2010-2,6,21,21,0,15
27,27,2010-C,3,11,11,0,15
27,27,2011-1,6,22,12,10,8
27,27,2011-2,6,22,18,4,15
27,27,2011-3,6,22,15,7,14
28,28,2010-1,6,21,14,7,13
28,28,2010-2,6,22,11,11,12
28,28,2010-C,2,7,7,0,15
28,28,2011-1,6,22,4,18,10
28,28,2011-2,6,22,11,11,9
28,28,2011-3,6,22,0,22,3
28,28,2012-1,6,22,0,22,0
28,28,2012-2,6,22,0,22,3
28,28,2013-1,6,22,3,19,4
28,28,2013-2,6,22,0,22,4
29,29,2010-1,6,21,17,4,12
29,29,2013-1,6,21,13,8,11
29,29,2013-2,5,17,10,7,14
29,29,2013-3,5,15,15,0,14
29,29,2014-1,3,11,11,0,15
29,29,2014-2,5,19,15,4,13
29,29,2015-1,5,20,20,0,15
29,29,2015-2,6,20,20,0,15
30,30,2010-1,6,21,6,15,7
30,30,2010-2,7,22,0,22,0
30,30,2010-C,3,11,4,7,5
30,30,2011-1,7,22,0,22,3
30,30,2011-2,7,22,3,19,7
30,30,2012-1,5,18,7,11,12
30,30,2012-2,6,19,15,4,14
30,30,2013-1,6,21,17,4,12
30,30,2013-2,6,22,19,3,14
30,30,2013-3,6,20,12,8,10
30,30,2014-1,6,22,3,19,8
30,30,2014-2,5,20,8,12,10
30,30,2015-1,7,21,12,9,9
30,30,2015-2,7,19,3,16,4
31,31,2010-1,6,21,13,8,12
31,31,2010-2,6,21,17,4,14
31,31,2010-C,3,11,4,7,10
31,31,2011-1,6,21,8,13,11
31,31,2011-2,6,21,13,8,13
31,31,2011-3,6,21,13,8,9
31,31,2012-1,6,22,15,7,13
31,31,2012-2,6,20,3,17,11
31,31,2013-1,7,21,14,7,13
31,31,2013-2,7,22,5,17,8
31,31,2014-1,7,22,19,3,13
31,31,2014-2,6,20,14,6,15
31,31,2015-1,7,20,10,10,11
31,31,2015-2,7,22,8,14,8
32,32,2010-1,7,22,22,0,18
32,32,2010-2,7,22,22,0,17
32,32,2010-C,3,9,9,0,18
32,32,2011-1,8,25,25,0,17
32,32,2011-2,3,10,10,0,19
32,32,2011-3,4,17,17,0,17
32,32,2012-1,7,22,22,0,18
32,32,2012-2,7,22,22,0,18
32,32,2013-1,7,22,22,0,17
32,32,2013-2,7,22,22,0,17
32,32,2013-3,7,22,22,0,17
33,33,2010-1,6,21,17,4,13
33,33,2010-2,7,21,17,4,14
33,33,2010-C,3,11,7,4,14
33,33,2011-1,6,20,16,4,14
33,33,2011-2,5,20,12,8,12
33,33,2011-3,6,22,7,15,10
33,33,2012-1,6,22,12,10,13
33,33,2012-2,7,22,15,7,12
33,33,2013-1,6,20,7,13,8
33,33,2013-3,4,12,0,12,6
33,33,2014-1,6,21,9,12,9
33,33,2014-2,6,19,3,16,6
33,33,2015-1,5,18,6,12,10
33,33,2015-2,6,22,14,8,13
34,34,2010-1,6,21,13,8,10
34,34,2010-2,7,22,0,22,0
34,34,2013-1,6,18,13,5,14
34,34,2013-2,6,22,0,22,4
34,34,2013-3,6,20,20,0,15
34,34,2014-1,6,19,8,11,10
34,34,2014-2,5,19,0,19,2
34,34,2015-1,6,19,4,15,9
34,34,2015-2,5,15,10,5,14
35,35,2010-1,7,22,16,6,15
35,35,2010-2,7,22,15,7,12
35,35,2010-C,1,4,0,4,9
35,35,2011-1,5,16,0,16,0
35,35,2011-2,5,16,0,16,4
35,35,2011-3,5,16,3,13,5
36,36,2010-1,7,22,0,22,1
36,36,2010-2,7,22,0,22,6
36,36,2011-1,7,22,10,12,10
36,36,2011-2,7,21,7,14,9
36,36,2011-3,6,20,9,11,11
36,36,2012-1,4,14,11,3,14
36,36,2012-2,5,17,6,11,10
36,36,2013-1,5,16,12,4,14
36,36,2013-2,6,21,0,21,5
36,36,2013-3,6,22,4,18,6
36,36,2014-1,5,19,7,12,10
36,36,2014-2,5,19,3,16,8
36,36,2015-1,4,16,8,8,14
36,36,2015-2,5,20,12,8,11
37,37,2010-1,7,22,22,0,15
37,37,2010-2,7,22,19,3,13
37,37,2011-1,7,22,19,3,12
37,37,2011-2,7,22,7,15,6
37,37,2011-3,7,22,0,22,3
37,37,2012-2,6,21,0,21,6
37,37,2014-2,6,20,12,8,10
37,37,2015-1,5,19,8,11,8
38,38,2010-1,7,22,22,0,16
38,38,2010-2,7,22,22,0,17
38,38,2011-1,7,22,22,0,16
38,38,2011-2,6,22,14,8,15
38,38,2011-3,5,20,16,4,15
38,38,2012-1,4,14,14,0,16
38,38,2012-2,6,22,22,0,16
38,38,2013-1,6,22,22,0,17
38,38,2013-2,6,22,22,0,16
38,38,2013-3,6,22,22,0,16
38,38,2014-1,6,19,19,0,17
39,39,2010-1,6,21,7,14,10
