NS,TIPOVIVIENDADONDEVIVE,REGIMENTENENCIAVIVIENDADONDEVIVE,VIVESUPADRE,VIVESUMADRE,PERSONASCONQUIENESVIVE,NIVELEDUCATIVOPADRE,NIVELEDUCATIVOMADRE,TRABAJASUPADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUPADRE,TRABAJASUMADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUMADRE,TIENECONOCIMIENTOSENCOMPUTACION,COMPUTADORAQUEUTILIZAFRECUENTEMENTEES,FINANCIAMIENTODESUSESTUDIOSUNIVERSITARIOS
212,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
213,CASA INDEPENDIENTE,PROPIA,NO,SI,PADRES Y HERMANOS,NaN,SUP. UNIV. COMPLETA,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
214,OTRO,PROPIA,SI,SI,SOLO MADRE,OTROS ESTUDIOS,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
215,OTRO,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
216,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,OTROS ESTUDIOS,SI,INDEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
217,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,OTROS ESTUDIOS,OTROS ESTUDIOS,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
218,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
219,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO MADRE,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
220,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. INCOMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
221,OTRO,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
222,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,SUS PADRES
223,CASA INDEPENDIENTE,PROPIA,NO,SI,PADRES Y HERMANOS,NaN,ESTUDIOS TECNICOS NO UNIVERSITARIOS,NaN,NaN,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
224,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
225,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
226,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
227,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
228,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. INCOMPLETA,SI,DEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
229,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,OTROS ESTUDIOS,OTROS ESTUDIOS,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
230,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO MADRE,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
231,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
232,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
233,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
234,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,OTROS ESTUDIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,INDEPENDIENTE,SI,NaN,SI,PROPIA,SUS PADRES
235,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
236,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,SUP. UNIV. INCOMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
237,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
238,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,SUP. UNIV. INCOMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
239,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO MADRE,SECUNDARIA,OTROS ESTUDIOS,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
240,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
241,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
242,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
243,CASA INDEPENDIENTE,PROPIA,SI,SI,OTROS PARIENTES,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,POR SU CUENTA
244,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
245,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
246,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
247,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
248,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,OTROS ESTUDIOS,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,CABINAS DE INTERNET,POR SU CUENTA
249,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,OTROS ESTUDIOS,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
250,CASA INDEPENDIENTE,PROPIA,SI,SI,OTROS PARIENTES,SECUNDARIA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
251,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
252,CASA INDEPENDIENTE,PROPIA,SI,NO,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,NaN,SI,DEPENDIENTE,NaN,NaN,SI,PROPIA,SUS PADRES
253,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
254,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,OTROS ESTUDIOS,OTROS ESTUDIOS,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,OTROS
255,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,OTROS ESTUDIOS,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
256,OTRO,OTRO,SI,SI,SOLO MADRE,SUP. UNIV. COMPLETA,SECUNDARIA,SI,INDEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
257,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
258,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
259,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
260,CASA INDEPENDIENTE,PROPIA,SI,NO,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,NaN,NO,NaN,NaN,NaN,SI,PROPIA,SUS PADRES
261,CASA INDEPENDIENTE,PROPIA,NO,NO,SOLO(A),NaN,NaN,NaN,NaN,NaN,NaN,SI,CABINAS DE INTERNET,POR SU CUENTA
262,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
263,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
264,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
265,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,SUP. UNIV. INCOMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
266,CASA INDEPENDIENTE,PROPIA,NO,SI,PADRES Y HERMANOS,NaN,SUP. UNIV. COMPLETA,NaN,NaN,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
267,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
268,OTRO,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
269,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
270,OTRO,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
271,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,OTROS ESTUDIOS,SUP. UNIV. INCOMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
272,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
273,OTRO,ALQUILADA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,NO,NaN,NO,NaN,SI,PROPIA,POR SU CUENTA
274,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,NO,NaN,NO,NaN,SI,PROPIA,POR SU CUENTA
275,OTRO,ALQUILADA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,OTRAS,SUS PADRES
276,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
277,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
278,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
279,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
280,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,INDEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
281,CASA INDEPENDIENTE,PROPIA,NO,SI,PADRES Y HERMANOS,NaN,SUP. UNIV. COMPLETA,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
282,OTRO,ALQUILADA,SI,SI,SOLO HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SECUNDARIA,NO,NaN,NO,NaN,SI,PROPIA,SUS PADRES
283,OTRO,OTRO,NO,SI,PADRES Y HERMANOS,NaN,SUP. UNIV. INCOMPLETA,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,OTROS
284,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
285,CASA INDEPENDIENTE,PROPIA,SI,SI,OTROS PARIENTES,SECUNDARIA,SECUNDARIA,NO,NaN,NO,NaN,SI,PROPIA,POR SU CUENTA
286,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,OTROS ESTUDIOS,OTROS ESTUDIOS,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
287,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
288,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
289,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
290,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
291,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,SUP. UNIV. INCOMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
292,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
293,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
294,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
295,CASA INDEPENDIENTE,PROPIA,NO,SI,SOLO MADRE,NaN,SUP. UNIV. COMPLETA,NaN,NaN,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
296,OTRO,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
297,CASA INDEPENDIENTE,OTRO,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
298,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO MADRE,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
299,CASA INDEPENDIENTE,ALQUILADA,SI,SI,SOLO MADRE,SUP. UNIV. INCOMPLETA,SUP. UNIV. COMPLETA,NO,NaN,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
300,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
301,OTRO,ALQUILADA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,NO,NaN,SI,DEPENDIENTE,SI,OTRAS,SUS PADRES
302,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
303,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
304,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
305,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
306,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
307,OTRO,PROPIA,SI,SI,PADRES Y HERMANOS,OTROS ESTUDIOS,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
308,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
309,OTRO,ALQUILADA,SI,SI,SOLO MADRE,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
310,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
311,OTRO,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. INCOMPLETA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
312,CASA INDEPENDIENTE,ALQUILADA,SI,SI,SOLO MADRE,SUP. UNIV. COMPLETA,SUP. UNIV. INCOMPLETA,NO,NaN,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
313,OTRO,PROPIA,SI,NO,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,NaN,SI,INDEPENDIENTE,NaN,NaN,SI,PROPIA,SUS PADRES
314,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,NaN,SI,NaN,SI,PROPIA,SUS PADRES
315,OTRO,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,NO,NaN,SI,NaN,SUS PADRES
316,CASA INDEPENDIENTE,OTRO,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
317,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
318,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
319,CASA INDEPENDIENTE,PROPIA,NO,SI,OTROS PARIENTES,NaN,SECUNDARIA,NaN,NaN,SI,NaN,SI,NaN,SUS PADRES
320,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
321,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO MADRE,SECUNDARIA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
322,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
323,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,NaN,SI,NaN,SI,NaN,SUS PADRES
324,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
325,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
326,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,INDEPENDIENTE,SI,DEPENDIENTE,NO,NaN,SUS PADRES
327,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
328,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. INCOMPLETA,SI,DEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
329,CASA INDEPENDIENTE,ALQUILADA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SUP. UNIV. INCOMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
330,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,OTROS ESTUDIOS,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
331,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
