NS,TIPOVIVIENDADONDEVIVE,REGIMENTENENCIAVIVIENDADONDEVIVE,VIVESUPADRE,VIVESUMADRE,PERSONASCONQUIENESVIVE,NIVELEDUCATIVOPADRE,NIVELEDUCATIVOMADRE,TRABAJASUPADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUPADRE,TRABAJASUMADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUMADRE,TIENECONOCIMIENTOSENCOMPUTACION,COMPUTADORAQUEUTILIZAFRECUENTEMENTEES,FINANCIAMIENTODESUSESTUDIOSUNIVERSITARIOS
399,1,0,1,1,0,2,2,2,0,1,2,1,0,1
400,1,1,1,1,0,2,2,2,1,2,1,1,0,2
401,0,2,1,1,1,4,4,2,0,2,0,1,3,2
402,0,2,1,1,1,0,2,2,0,1,2,1,0,1
403,0,2,1,1,1,0,3,2,1,2,1,1,3,2
404,0,2,1,1,1,0,3,2,0,2,0,1,3,2
405,1,0,1,0,0,0,1,2,1,0,2,1,2,0
406,1,0,1,1,4,0,0,2,0,2,0,1,0,1
407,1,2,1,1,1,3,2,2,1,2,1,1,0,0
408,0,2,1,1,1,2,2,2,1,2,1,1,0,2
409,0,2,1,1,3,0,4,1,2,2,0,1,3,2
410,0,2,1,1,1,4,3,2,0,2,1,1,3,2
411,0,2,1,1,1,4,5,2,0,1,2,1,0,2
412,1,0,1,1,4,3,3,2,0,1,2,1,0,1
413,1,0,1,1,4,0,3,2,1,1,2,1,3,1
414,1,0,1,1,4,3,2,2,1,2,1,0,1,1
415,0,2,1,1,1,3,3,2,0,2,1,1,3,2
416,0,2,1,1,1,3,3,2,1,2,1,1,3,2
417,0,2,0,1,3,1,3,0,2,2,0,1,3,2
418,0,2,1,1,1,0,0,2,0,2,1,1,0,2
419,0,2,1,1,1,3,3,2,0,2,0,1,3,2
420,0,2,1,1,1,3,3,2,1,2,0,1,3,2
421,0,2,1,1,1,4,0,2,0,2,1,1,3,2
422,0,2,1,1,1,4,3,2,0,2,0,1,3,2
423,0,2,1,1,1,4,4,2,0,2,0,1,3,2
424,0,2,1,1,1,5,0,2,1,1,2,1,3,2
425,0,2,1,1,1,4,3,2,0,2,1,1,3,2
426,0,2,1,1,1,5,0,2,0,2,0,1,0,2
427,0,2,1,1,1,4,4,2,1,2,0,1,3,2
428,0,2,1,1,1,0,0,2,0,2,0,1,0,2
429,0,2,1,1,1,0,2,2,0,2,1,1,3,2
430,1,2,1,1,1,4,4,2,1,2,1,1,3,2
431,0,2,1,1,0,4,0,2,1,2,1,1,3,2
432,0,2,1,1,1,4,0,2,0,2,0,1,3,2
433,0,2,1,1,1,5,0,2,0,2,1,1,3,1
434,0,0,1,1,1,5,4,2,0,2,1,1,3,2
435,0,2,1,1,1,5,3,2,0,2,1,1,0,2
436,1,0,1,1,0,5,3,2,1,2,1,1,3,0
437,0,2,1,1,1,3,3,2,1,2,1,1,0,2
438,1,2,1,1,1,3,3,2,0,2,0,1,0,2
439,0,2,1,1,1,4,4,2,0,2,0,1,3,2
440,0,2,1,1,1,0,3,2,0,2,1,1,3,2
441,0,2,1,1,3,0,0,2,0,2,0,1,3,2
442,0,2,1,1,1,0,3,2,1,2,1,1,3,2
443,1,0,1,1,1,2,2,2,1,1,2,1,0,1
444,0,0,1,1,1,2,2,2,1,1,2,1,3,2
445,0,1,1,1,1,3,3,2,0,2,1,1,3,2
446,0,2,1,1,1,3,3,2,1,2,1,1,0,2
447,0,2,1,1,1,5,5,2,1,2,1,1,2,1
448,0,2,1,1,1,2,2,2,1,2,1,1,0,2
449,1,0,1,1,1,0,0,2,0,2,1,1,2,2
450,0,2,1,1,1,0,3,2,0,2,1,0,1,2
451,0,2,1,1,1,2,2,2,1,2,1,1,0,2
452,1,2,1,1,1,4,0,2,1,2,1,1,3,2
453,0,2,0,0,2,1,1,0,2,0,2,1,3,1
454,0,2,1,1,1,4,4,2,0,2,0,1,3,2
455,0,2,1,1,1,5,4,2,1,2,0,1,0,2
456,1,2,1,1,3,0,2,1,2,2,1,1,3,1
457,0,2,1,1,1,0,0,2,0,2,1,1,3,2
458,0,2,1,1,1,0,0,2,0,2,1,1,3,2
459,0,2,1,1,1,0,0,2,0,1,2,0,1,2
460,1,1,1,1,2,0,3,2,0,1,2,1,0,2
461,0,2,1,1,1,4,4,2,0,2,0,1,0,2
462,0,2,1,1,2,5,4,2,1,2,0,1,3,2
463,0,2,1,1,1,5,4,2,1,2,1,1,0,2
464,0,2,1,0,1,3,1,2,1,0,2,1,3,1
465,0,2,1,1,1,2,2,2,1,2,1,1,0,2
466,1,0,1,1,2,0,3,2,0,2,1,1,0,2
467,0,2,1,1,1,3,0,2,0,2,0,1,3,2
468,0,2,1,1,1,4,4,2,0,2,1,1,3,2
469,0,2,1,1,1,3,3,2,1,2,1,1,0,2
470,0,2,1,1,1,0,3,2,1,2,1,1,0,2
471,0,0,1,1,1,3,2,2,2,2,2,1,1,1
472,0,2,1,1,1,0,0,2,0,2,0,1,3,2
473,0,2,1,0,0,4,1,2,0,0,2,1,3,2
474,1,0,1,1,2,2,2,1,2,1,2,1,3,1
475,1,1,1,0,2,3,1,2,1,0,2,1,3,1
476,0,2,1,0,2,3,1,2,1,0,2,1,3,1
477,1,2,1,1,1,0,3,2,0,2,1,1,3,2
478,0,1,1,1,2,0,4,2,0,2,0,1,3,2
479,0,2,1,1,1,4,4,2,0,2,0,1,0,2
480,0,2,1,1,1,5,3,2,1,1,2,1,0,2
481,1,0,1,1,0,3,3,2,1,2,1,1,3,2
482,0,2,1,1,1,0,3,2,1,2,1,1,3,2
483,0,1,1,1,1,5,5,2,0,1,2,1,3,2
484,1,0,1,1,1,0,3,2,0,2,1,1,3,2
485,1,1,1,1,0,2,2,2,0,2,0,1,3,1
486,0,0,1,1,2,3,3,2,1,2,1,1,3,1
487,0,2,1,1,1,3,0,2,1,2,0,1,3,1
488,0,2,1,1,1,3,3,2,0,1,2,1,0,2
489,0,2,1,1,1,3,3,2,1,2,1,1,3,2
490,0,2,1,1,1,2,4,2,1,2,1,1,3,2
491,0,2,1,1,1,2,2,2,0,2,0,0,1,2
492,0,2,1,1,1,4,4,2,0,2,1,1,3,2
493,0,0,1,1,3,3,3,2,1,2,1,1,3,2
494,0,2,1,1,1,3,3,2,1,2,0,1,0,2
495,0,0,1,1,1,5,4,2,1,2,0,1,0,2
496,1,0,1,1,1,3,3,2,0,2,1,1,3,2
497,0,2,1,1,1,2,2,2,1,2,1,1,0,2
498,0,2,1,1,1,3,3,2,0,1,2,1,0,2
499,0,2,1,1,1,4,3,2,0,1,2,1,0,2
500,0,2,1,1,1,3,4,2,1,2,0,1,0,2
501,0,2,1,1,1,3,3,2,1,2,1,1,0,2
502,1,0,1,1,3,0,4,2,0,2,0,1,0,2
503,0,2,1,1,1,3,0,2,1,2,1,1,0,2
504,0,2,1,1,1,3,4,2,1,2,1,1,3,2
505,0,2,1,1,1,0,3,2,0,1,2,1,3,2
506,0,2,1,1,1,4,3,2,0,1,2,1,3,2
507,0,2,1,1,3,3,3,2,1,2,1,1,0,2
508,0,2,1,1,1,2,2,2,1,2,1,1,3,2
509,0,2,1,1,1,5,3,2,1,2,1,1,0,2
510,0,2,1,1,0,5,3,2,0,2,1,1,3,2
511,0,2,1,1,1,0,2,2,1,2,1,1,3,2
512,0,2,1,1,1,3,3,2,0,2,1,1,0,2
513,0,2,1,1,1,3,3,2,0,1,2,1,3,2
514,0,2,1,1,1,3,3,2,1,2,1,1,2,1
515,0,2,1,1,1,3,3,2,1,2,1,0,1,2
516,0,2,1,1,1,0,0,2,1,2,1,1,3,2
517,0,2,1,1,4,3,3,2,1,2,1,1,3,1
518,0,2,1,1,1,4,4,2,0,2,0,1,3,2
519,0,2,1,1,1,0,3,2,1,1,2,1,3,1
520,0,2,0,1,0,1,0,0,2,2,0,1,0,1
521,0,2,1,1,1,0,0,2,0,2,0,1,3,2
522,0,2,1,1,1,3,3,2,1,2,1,1,3,2
523,0,2,1,1,3,3,3,2,1,2,1,1,3,2
524,0,2,1,1,3,3,3,2,1,2,1,1,3,2
525,0,2,1,1,1,3,0,2,1,2,1,1,3,1
526,1,1,1,1,1,3,3,1,2,2,1,0,1,0
527,1,0,1,1,1,0,0,2,0,2,0,1,3,2
528,1,0,1,1,0,3,3,2,1,2,1,0,1,2
529,0,2,1,1,1,0,4,2,1,2,1,0,1,2
530,0,2,1,1,1,3,3,2,1,2,1,1,3,1
531,0,2,1,1,1,4,4,2,1,2,0,1,0,2
532,0,2,1,1,1,0,0,2,0,2,0,1,3,1
533,0,2,0,1,1,1,4,0,2,2,1,1,3,2
534,0,2,1,1,1,5,3,2,1,2,1,1,3,1
535,1,0,1,1,0,3,3,2,1,1,2,0,1,0
536,0,1,1,1,1,0,3,2,0,1,2,1,3,2
537,1,0,1,1,1,3,3,2,0,2,1,1,3,1
538,1,0,1,0,1,2,1,2,1,0,2,1,0,0
539,0,2,1,1,1,0,5,2,1,2,1,1,3,1
540,0,2,1,1,1,3,3,2,1,2,1,1,3,1
541,0,2,1,1,1,4,0,2,0,2,1,1,3,2
542,0,2,1,1,2,3,3,2,1,2,1,1,3,0
543,1,2,0,1,3,1,2,0,2,1,2,1,2,1
544,1,0,1,1,1,3,3,2,0,2,1,1,3,2
545,1,0,1,1,1,3,3,2,1,1,2,1,2,2
546,0,2,1,1,1,3,5,2,0,2,0,1,0,2
547,0,2,1,1,1,3,2,2,1,1,2,1,0,2
548,0,2,1,1,1,3,2,2,1,2,1,1,0,2
549,0,2,1,1,1,3,2,2,1,2,1,1,0,2
550,0,2,1,1,1,3,3,2,0,1,2,1,0,2
551,0,2,1,1,1,4,4,2,1,2,1,1,3,2
552,1,0,1,1,4,3,3,2,1,2,1,1,3,0
553,1,0,1,1,1,3,3,1,2,1,2,1,0,1
554,1,0,1,1,0,4,4,2,0,2,0,1,0,2
555,0,2,1,1,1,2,2,2,0,2,0,1,0,2
556,0,2,1,1,1,3,2,2,1,1,2,1,0,2
557,0,2,1,1,1,2,2,2,1,2,1,1,0,2
558,0,2,1,1,1,4,4,2,0,2,0,1,3,2
559,1,1,0,1,0,1,2,0,2,2,1,1,3,0
560,0,2,1,1,1,4,4,2,1,2,1,1,3,2
561,0,2,1,1,1,3,0,2,0,2,1,1,3,2
562,0,2,1,1,1,4,5,2,1,2,1,1,3,2
563,0,2,1,1,1,5,0,2,0,2,1,1,3,2
564,0,2,1,1,1,3,3,2,1,2,1,1,3,2
565,0,2,1,1,1,3,3,2,1,2,1,1,3,1
566,0,2,1,1,1,4,4,2,1,2,1,1,3,2
567,0,2,1,1,1,0,3,2,1,2,1,1,3,2
568,0,2,1,1,1,4,0,2,0,2,1,1,3,2
569,0,2,1,1,1,0,0,2,1,2,1,1,3,2
570,1,0,1,1,2,3,3,2,1,2,1,1,3,2
571,0,2,1,1,1,4,4,2,0,2,0,1,3,2
572,0,0,1,1,1,0,0,2,0,2,1,1,0,2
573,0,2,0,1,1,1,4,0,2,2,0,1,3,2
574,1,0,1,1,1,0,0,2,0,2,0,1,3,2
575,1,0,0,1,2,1,3,0,2,2,1,1,0,0
576,0,2,1,1,1,3,3,2,1,2,1,1,3,2
577,0,2,1,1,1,5,4,2,0,2,0,1,3,2
578,0,2,1,1,1,0,0,2,0,1,2,1,3,2
579,1,0,1,1,1,5,4,2,0,2,0,1,0,2
580,0,2,1,1,1,0,0,2,1,2,1,1,3,2
581,1,0,1,1,1,0,3,2,1,2,1,1,3,2
582,1,1,1,1,2,0,3,2,0,2,1,1,3,2
583,0,2,1,1,1,0,3,2,1,2,1,1,3,2
584,0,2,1,1,1,4,4,2,0,2,0,1,3,2
585,0,2,1,1,1,2,4,2,0,2,0,1,3,2
586,1,2,1,0,0,5,1,2,0,0,2,0,1,2
587,0,1,1,1,0,2,3,2,1,2,0,1,1,0
588,1,1,1,1,0,5,4,2,1,1,2,1,0,2
589,0,2,1,1,1,5,5,2,1,2,1,1,0,2
590,0,0,1,1,1,3,3,2,0,2,0,1,0,2
591,0,2,1,1,1,3,3,2,1,1,2,0,1,1
592,1,1,1,1,0,3,0,1,2,2,0,1,0,2
593,0,2,1,1,0,3,3,2,0,2,0,1,3,2
594,0,0,1,1,1,4,4,2,1,2,0,1,3,2
595,0,2,1,1,1,0,0,2,0,2,1,1,3,2
596,0,0,1,1,1,0,3,2,0,2,1,1,3,2
597,0,2,1,1,1,0,3,2,1,2,1,1,0,2
598,1,1,1,1,0,3,3,2,1,2,1,1,0,2
599,1,0,1,1,0,2,2,1,2,1,2,1,3,1
600,0,1,1,1,3,5,5,2,1,2,0,1,3,2
601,0,2,1,1,1,2,2,2,1,2,1,1,3,1
602,1,1,0,1,2,1,3,0,2,2,0,1,3,0
603,0,2,1,1,1,4,3,2,1,2,1,1,3,2
604,0,2,1,1,1,3,3,2,1,2,1,1,3,2
605,0,2,1,1,1,3,3,2,1,1,2,1,2,2
606,0,2,1,1,1,4,3,2,1,2,1,1,3,2
607,0,2,1,1,1,0,0,2,0,2,0,1,0,2
608,0,2,1,1,1,3,3,2,1,2,1,1,3,2
609,0,2,1,1,1,3,3,2,1,2,1,1,0,2
610,0,2,1,1,1,4,4,2,0,2,0,1,3,2
611,0,2,1,1,1,2,2,2,1,1,2,1,3,2
612,0,2,1,1,1,3,3,2,0,2,1,1,3,2
613,1,0,0,1,2,1,2,0,2,2,1,1,0,2
614,0,2,1,1,1,4,0,2,0,1,2,1,3,2
615,0,2,1,1,1,3,3,2,0,1,2,1,0,2
616,0,2,1,1,1,4,0,2,0,1,2,1,3,2
617,0,2,1,1,1,5,2,2,1,2,1,1,3,2
618,0,2,1,1,1,4,3,1,2,1,2,1,0,2
619,0,2,1,1,1,3,2,2,0,2,0,1,2,1
620,0,2,1,1,1,3,2,2,0,1,2,1,3,2
621,0,2,0,1,1,1,2,0,2,2,1,1,3,0
622,0,2,1,1,1,5,2,2,0,1,2,1,3,2
623,0,2,1,1,1,2,2,2,1,2,1,1,3,1
624,0,2,1,1,1,3,3,2,1,2,1,1,0,2
625,0,2,0,1,1,1,3,0,2,2,1,1,2,2
626,1,0,1,1,1,3,3,2,1,2,1,1,0,2
627,0,2,1,1,1,0,3,2,1,2,1,1,3,2
628,0,2,1,1,1,0,3,2,1,2,1,1,3,2
629,0,2,1,1,4,3,2,2,1,2,1,1,3,1
630,0,2,1,1,1,3,2,2,1,2,1,1,3,2
631,0,2,0,1,1,1,3,0,2,2,0,1,3,1
632,1,0,1,1,0,5,3,2,0,2,0,1,2,1
633,0,2,1,1,1,2,2,2,1,2,1,1,3,2
634,0,2,1,1,1,3,3,2,1,1,2,1,0,2
635,0,2,0,1,1,1,3,0,2,2,1,1,0,2
636,0,2,0,1,1,1,5,0,2,2,0,1,3,1
637,0,2,1,1,1,2,2,2,1,2,1,1,3,2
638,0,2,1,1,3,0,0,1,2,2,0,1,3,2
639,0,2,1,1,1,3,2,2,1,2,1,1,3,2
640,0,2,0,1,0,1,3,0,2,1,2,1,3,1
641,1,0,1,1,2,0,0,2,0,1,2,1,0,2
642,0,2,1,1,0,0,0,2,0,2,0,1,3,1
643,0,2,1,1,1,3,3,2,0,2,1,1,2,2
644,0,2,1,1,1,0,4,2,0,2,0,1,3,2
645,1,0,0,1,3,1,4,0,2,2,1,1,2,2
646,0,2,1,1,1,2,2,2,1,1,2,1,2,2
647,0,0,1,1,1,3,3,2,1,2,1,1,3,1
648,0,2,1,1,1,3,3,2,0,2,0,1,3,2
649,0,1,1,1,1,2,2,2,1,2,1,1,2,1
650,0,2,1,1,1,4,4,2,1,2,1,1,3,2
651,0,2,1,1,0,0,0,2,1,2,1,1,3,1
652,0,2,1,1,1,0,0,2,1,2,1,1,3,2
653,0,2,1,1,1,0,3,2,0,2,1,1,0,2
654,1,0,1,1,1,4,3,2,0,1,2,1,3,2
655,0,2,1,1,1,5,0,2,1,2,0,0,1,0
656,0,2,1,0,0,0,1,2,0,0,2,1,3,0
657,0,2,1,1,1,4,0,2,1,2,1,1,3,2
658,1,0,1,1,3,4,4,2,0,1,2,1,3,2
659,0,2,1,1,3,4,4,2,1,2,0,1,3,2
660,0,2,1,1,1,4,4,2,0,1,2,1,3,2
661,1,0,1,1,1,4,4,2,0,2,0,1,3,2
662,0,2,1,1,3,4,4,2,1,2,0,1,3,2
663,1,2,1,1,1,4,4,2,0,1,2,1,3,2
664,0,2,1,1,1,4,4,2,0,2,1,1,3,2
665,0,0,1,1,1,3,3,2,0,1,2,1,3,2
666,0,2,1,1,1,4,4,2,0,1,2,1,3,2
667,1,0,1,1,0,3,3,2,1,2,1,1,3,1
668,0,2,1,1,1,3,3,2,1,2,1,1,2,2
669,0,2,1,1,1,5,5,2,0,1,2,1,3,2
670,0,2,1,1,3,0,0,2,0,2,0,1,3,2
671,1,2,1,1,1,4,0,2,0,2,0,1,3,2
672,0,2,1,1,1,5,5,2,1,2,1,1,3,2
673,0,2,1,1,1,4,4,2,1,1,2,0,1,2
674,1,0,0,1,3,1,3,0,2,2,1,1,3,2
675,0,2,1,1,1,4,4,2,0,2,0,1,3,2
676,0,2,1,1,1,5,5,2,1,2,1,1,3,2
677,0,2,0,1,3,1,3,0,2,2,0,1,0,0
678,0,2,1,1,1,0,2,2,1,1,2,1,0,1
679,1,0,1,1,0,4,4,2,0,2,0,1,3,2
680,0,2,1,0,1,4,1,2,0,0,2,1,0,2
681,0,2,1,1,1,4,4,2,1,2,0,1,3,2
682,0,2,1,1,1,4,3,2,0,2,1,1,3,2
683,1,0,1,1,3,3,4,2,1,2,0,1,3,2
684,0,2,1,0,0,4,1,2,1,0,2,1,3,1
685,0,2,1,1,0,0,3,2,0,2,1,0,1,2
686,0,2,1,1,2,3,2,2,1,1,2,1,3,1
