IdAlumno,IdSocial,NOMBRESEDE,NOMBREESCUELA,UBIGEONACIMIENTO,EDAD,DIRECCION,ESTADOCIVIL,DEUDA,MODALIDADINGRESO,PUNTAJEINGRESO,TIPOCOLEGIO,LUGARCOLEGIO,ANOEGRESOCOLEGIO,SEXO,TIPOVIVIENDADONDEVIVE,REGIMENTENENCIAVIVIENDADONDEVIVE,VIVESUPADRE,VIVESUMADRE,PERSONASCONQUIENESVIVE,NIVELEDUCATIVOPADRE,NIVELEDUCATIVOMADRE,TRABAJASUPADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUPADRE,TRABAJASUMADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUMADRE,TIENECONOCIMIENTOSENCOMPUTACION,COMPUTADORAQUEUTILIZAFRECUENTEMENTEES,FINANCIAMIENTODESUSESTUDIOSUNIVERSITARIOS
48,48,0,2,0,0,0,2,1,0,1,0,0,2,1,0,2,1,1,1,4,4,2,1,2,1,1,3,2
49,49,0,2,0,1,0,2,1,0,1,1,0,1,1,0,2,1,1,1,4,4,2,0,2,1,1,3,2
50,50,0,0,0,2,0,1,1,0,1,0,0,0,1,0,2,1,1,1,3,0,1,2,1,2,1,3,1
51,51,0,2,0,0,0,2,1,0,2,0,0,2,0,0,2,0,1,0,1,4,0,2,2,0,1,3,2
52,52,0,2,0,0,0,2,1,0,1,0,0,2,1,0,2,1,1,1,0,3,2,1,2,1,1,3,2
53,53,0,2,0,0,0,2,1,0,0,0,0,2,0,1,2,1,1,1,2,4,2,1,2,0,1,3,2
54,54,0,2,0,0,9,2,1,0,2,0,0,2,1,0,2,1,1,1,4,0,2,0,2,1,1,3,2
55,55,0,2,0,0,6,2,1,0,0,0,0,2,1,0,2,1,1,1,4,4,2,0,2,0,1,3,2
56,56,0,2,0,1,0,2,1,0,2,1,0,2,1,0,2,1,1,1,5,5,2,0,2,0,1,3,2
57,57,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,3,1,2,0,2,1,2,0,1,1
58,58,0,0,0,2,0,2,1,0,1,1,0,0,0,0,2,1,1,1,0,3,2,1,2,1,1,3,0
59,59,0,0,0,2,1,0,2,0,1,0,0,0,1,0,2,1,1,1,3,3,2,0,1,2,1,3,1
60,60,0,1,0,2,1,0,2,0,0,0,0,0,1,0,2,1,1,1,4,4,2,0,2,1,1,3,2
61,61,0,0,0,0,0,2,1,1,2,0,0,2,0,0,2,1,1,1,3,3,2,1,2,1,1,3,2
62,62,0,0,0,0,0,2,2,0,2,0,0,2,0,0,2,1,0,1,5,1,2,0,0,2,1,0,2
63,63,0,0,0,0,1,0,1,0,2,0,0,2,0,0,2,1,1,1,4,5,1,2,2,0,1,3,2
64,64,0,0,0,0,1,0,2,0,2,0,0,2,0,1,0,1,1,3,5,0,1,2,2,1,1,2,2
65,65,0,0,0,0,9,2,1,0,2,0,0,2,0,1,2,1,1,1,3,3,2,1,2,1,0,1,2
66,66,0,1,0,0,6,2,1,0,2,0,0,2,1,0,2,1,1,1,4,4,2,0,2,0,1,0,2
67,67,0,1,0,0,0,2,1,0,2,0,0,2,1,0,2,1,1,1,4,4,2,0,2,0,1,3,2
68,68,0,1,0,0,1,0,1,1,2,0,0,2,1,0,2,1,1,1,4,4,2,0,2,0,1,3,2
69,69,0,1,0,0,0,2,2,0,2,0,0,2,1,0,2,1,1,1,2,4,2,0,2,1,1,3,2
70,70,0,1,0,1,5,2,1,1,2,0,0,2,1,0,2,1,1,1,4,0,2,1,2,1,1,3,2
71,71,0,1,0,0,0,2,4,0,2,0,0,2,1,0,2,1,1,0,4,4,2,0,1,2,1,3,0
72,72,0,1,0,0,5,2,1,0,2,0,0,2,1,0,2,1,1,0,2,4,2,0,2,0,1,3,2
73,73,0,1,0,1,0,2,1,0,2,0,0,2,1,0,2,1,1,1,3,3,2,1,2,0,1,3,2
74,74,0,1,0,1,1,0,1,0,2,0,0,2,1,0,2,1,1,0,4,4,2,1,2,0,1,0,2
75,75,0,2,0,0,0,2,1,0,2,0,0,2,1,0,2,1,1,1,0,0,2,0,2,0,1,3,2
76,76,0,2,0,0,0,2,1,1,2,0,0,2,1,0,2,1,1,1,5,4,2,0,1,2,1,3,0
77,77,0,2,0,0,0,2,1,0,2,0,0,2,1,0,0,1,1,1,4,4,2,0,2,1,1,3,2
78,78,0,2,0,0,0,2,1,0,2,0,0,2,1,0,2,1,1,1,5,2,2,1,2,1,1,3,2
79,79,0,2,0,0,0,2,1,0,2,1,0,2,1,0,2,1,1,3,3,0,2,1,2,1,1,0,2
80,80,0,2,0,0,1,0,1,0,2,0,0,2,1,0,2,1,1,1,4,4,2,1,2,1,1,3,2
81,81,0,2,0,0,0,2,1,0,2,1,0,2,1,0,2,1,1,1,3,3,1,2,1,2,1,3,2
82,82,0,2,0,0,1,0,1,0,2,0,0,2,1,0,2,1,1,1,4,4,2,0,2,0,1,3,2
83,83,0,3,0,0,6,2,1,0,2,0,0,2,1,0,2,1,1,3,4,4,2,0,2,0,1,3,2
84,84,0,3,0,1,1,0,2,0,2,0,0,2,1,1,0,1,0,1,5,1,2,1,0,2,1,3,2
85,85,0,3,0,0,1,0,1,0,2,0,0,2,1,0,2,1,1,1,5,0,2,0,2,1,1,3,2
86,86,0,3,0,0,6,2,4,0,2,0,0,2,1,0,2,1,1,1,4,4,2,0,2,1,1,3,2
87,87,0,3,0,0,9,2,1,0,2,0,0,2,1,1,1,1,1,1,5,0,2,0,2,0,1,3,2
88,88,0,3,0,0,0,2,1,1,2,0,0,2,0,0,2,1,1,1,4,4,2,0,2,1,1,3,2
